type	latitude	longitude	altitude (m)	eos	name	desc
T	22.276221200	114.206071100	318.3			
T	22.276264700	114.206105200	319.6			
T	22.276302600	114.206139200	320.2			
T	22.276400100	114.206156200	322.5			
T	22.276485000	114.206143100	321.7			
T	22.276564800	114.206110400	321.5			
T	22.276625700	114.206142200	319.7			
T	22.276679300	114.206194000	316.8			
T	22.276757800	114.206193100	311.9			
T	22.276819600	114.206185500	308.1			
T	22.276874400	114.206148800	305.2			
T	22.276937800	114.206080700	301.6			
T	22.276970200	114.206042900	299.4			
T	22.276999800	114.205944800	298.3			
T	22.277029400	114.205846600	298.1			
T	22.277041700	114.205811700	297.5			
T	22.277127100	114.205726900	293.5			
T	22.277160700	114.205685000	292.1			
T	22.277246100	114.205641900	290.1			
T	22.277285800	114.205672100	290.3			
T	22.277333200	114.205768700	290.2			
T	22.277369400	114.205881800	288.3			
T	22.277356000	114.205947700	285.9			
T	22.277360000	114.206079700	281.1			
T	22.277370800	114.206226900	277.4			
T	22.277396400	114.206386800	274.2			
T	22.277429600	114.206411900	274.6			
T	22.277495700	114.206412200	275.7			
T	22.277524100	114.206452600	275.0			
T	22.277538300	114.206542300	273.8			
T	22.277573300	114.206622500	272.2			
T	22.277589200	114.206703300	270.8			
T	22.277621600	114.206801300	268.6			
T	22.277645600	114.206863100	267.2			
T	22.277632000	114.206944400	266.1			
T	22.277651000	114.207061000	263.3			
T	22.277713800	114.207102700	261.5			
T	22.277789600	114.207138400	259.6			
T	22.277841300	114.207192600	257.3			
T	22.277917600	114.207507000	245.7			
T	22.278369800	114.207834200	225.8			
T	22.278459200	114.208156200	210.0			
T	22.278517500	114.208147500	209.6			
T	22.278636300	114.207933900	214.0			
T	22.278720000	114.207836800	214.3			
T	22.278784800	114.207871800	212.0			
T	22.278781600	114.207974600	209.6			
T	22.278778000	114.208089100	206.7			
T	22.278833800	114.208172200	202.8			
T	22.278946000	114.208188100	200.6			
T	22.278998800	114.208168900	200.6			
T	22.279104300	114.207995800	204.6			
T	22.279136600	114.207967700	204.9			
T	22.279178800	114.207954300	204.8			
T	22.279217300	114.207975700	204.2			
T	22.279280600	114.208037400	202.2			
T	22.279317800	114.208045500	201.6			
T	22.279347000	114.208040800	201.5			
T	22.279631800	114.207718200	203.1			
T	22.279656600	114.207682700	202.3			
T	22.279666500	114.207629000	202.3			
T	22.279656000	114.207591500	203.1			
T	22.279631800	114.207562700	204.6			
T	22.279587700	114.207537200	207.3			
T	22.279530000	114.207501600	211.0			
T	22.279482800	114.207458000	214.6			
T	22.279451200	114.207415800	216.6			
T	22.279422700	114.207352800	217.5			
T	22.279414000	114.207305200	218.1			
T	22.279422000	114.207256200	218.8			
T	22.279436300	114.207231400	219.0			
T	22.279471700	114.207205300	219.4			
T	22.279531900	114.207204600	219.1			
T	22.279625600	114.207220000	218.4			
T	22.279685100	114.207214000	218.3			
T	22.279755900	114.207177100	217.3			
T	22.279798100	114.207134000	216.0			
T	22.279829100	114.207053700	215.5			
T	22.279851400	114.206975900	215.2			
T	22.279872500	114.206842500	216.5			
T	22.279884900	114.206766700	217.6			
T	22.279901700	114.206717800	218.2			
T	22.279905100	114.206662800	219.6			
T	22.279957200	114.206626400	220.3			
T	22.280028100	114.206615200	220.0			
T	22.280090000	114.206581900	221.7			
T	22.280149600	114.206548600	223.2			
T	22.280192000	114.206559800	222.5			
T	22.280225600	114.206571600	221.9			
T	22.280270200	114.206586300	221.2			
T	22.280292200	114.206590400	220.8			
T	22.280333600	114.206569600	220.7			
T	22.280374200	114.206544800	220.6			
T	22.280411000	114.206524400	220.2			
T	22.280460700	114.206465400	219.9			
T	22.280514200	114.206401000	218.7			
T	22.280548500	114.206347600	218.3			
T	22.280601300	114.206299500	218.4			
T	22.280647400	114.206273600	218.3			
T	22.280671400	114.206265800	218.0			
T	22.280693500	114.206241200	218.2			
T	22.280706400	114.206224900	218.4			
T	22.280720700	114.206184700	219.2			
T	22.280744900	114.206159900	219.4			
T	22.280767900	114.206149100	219.2			
T	22.280790800	114.206145800	218.9			
T	22.280822500	114.206159200	218.0			
T	22.280870900	114.206192700	217.6			
T	22.280901200	114.206194500	218.0			
T	22.280945300	114.206184400	219.0			
T	22.280972600	114.206179500	219.5			
T	22.281003700	114.206165300	220.3			
T	22.281046300	114.206171300	220.9			
T	22.281073200	114.206180600	221.1			
T	22.281122300	114.206175800	222.0			
T	22.281154700	114.206177500	222.5			
T	22.281187900	114.206190700	222.8			
T	22.281228900	114.206169200	223.8			
T	22.281305200	114.206137700	225.4			
T	22.281351700	114.206136400	226.2			
T	22.281403200	114.206143800	226.8			
T	22.281462200	114.206171300	227.0			
T	22.281503100	114.206199400	227.3			
T	22.281539100	114.206253100	227.4			
T	22.281529800	114.206291300	227.1			
T	22.281507500	114.206336200	226.5			
T	22.281400800	114.206418700	224.4			
T	22.281268300	114.206497400	222.2			
T	22.281220400	114.206544800	221.5			
T	22.281211800	114.206552500	221.4			
T	22.281204800	114.206557400	221.2			
T	22.281195200	114.206561500	221.1			
T	22.281185500	114.206562500	220.9			
T	22.281158300	114.206562400	220.3			
T	22.281136100	114.206566500	219.8			
T	22.281112500	114.206575600	219.4			
T	22.280969600	114.206648900	216.3			
T	22.280945300	114.206665600	215.8			
T	22.280922200	114.206686100	215.5			
T	22.280915400	114.206695300	215.5			
T	22.280910700	114.206705700	215.6			
T	22.280907900	114.206716300	215.6			
T	22.280905300	114.206761000	216.3			
T	22.280903800	114.206773100	216.4			
T	22.280899500	114.206783600	216.5			
T	22.280892800	114.206791600	216.4			
T	22.280883800	114.206794500	216.2			
T	22.280873500	114.206794000	215.9			
T	22.280858200	114.206790400	215.4			
T	22.280840100	114.206788800	214.9			
T	22.280821000	114.206789000	214.8			
T	22.280810100	114.206790900	214.8			
T	22.280801100	114.206794700	214.9			
T	22.280792800	114.206800700	214.9			
T	22.280785400	114.206809100	215.0			
T	22.280767700	114.206834900	215.3			
T	22.280762100	114.206842100	215.3			
T	22.280755000	114.206848200	215.4			
T	22.280747200	114.206851700	215.4			
T	22.280737200	114.206851900	215.3			
T	22.280727500	114.206849600	215.3			
T	22.280689800	114.206833400	215.1			
T	22.280666000	114.206825500	215.0			
T	22.280631400	114.206817500	215.0			
T	22.280614100	114.206815200	215.0			
T	22.280585400	114.206815000	215.0			
T	22.280562500	114.206818000	214.9			
T	22.280533200	114.206826200	214.6			
T	22.280505400	114.206836800	214.1			
T	22.280361300	114.206901200	210.4			
T	22.280316500	114.206924600	208.7			
T	22.280290700	114.206939800	207.5			
T	22.280265600	114.206957300	206.7			
T	22.280245900	114.206976800	206.3			
T	22.280235800	114.206991600	206.0			
T	22.280226800	114.207007900	205.7			
T	22.280220000	114.207025300	205.3			
T	22.280215200	114.207043600	205.0			
T	22.280212700	114.207061000	204.7			
T	22.280211300	114.207113700	203.6			
T	22.280209000	114.207130300	203.3			
T	22.280206200	114.207144900	203.1			
T	22.280156100	114.207209400	202.8			
T	22.280143300	114.207285700	201.8			
