type	latitude	longitude	altitude (m)	eos	name	desc
T	22.254422500	113.953282200	760.6			
T	22.254389100	113.953245800	759.4			
T	22.254178800	113.952834400	751.0			
T	22.253944700	113.952608200	735.1			
T	22.253808400	113.952584900	729.4			
T	22.253682800	113.952523800	726.4			
T	22.253525700	113.952529800	722.3			
T	22.253492100	113.952517300	721.4			
T	22.253371100	113.952457700	717.9			
T	22.253161600	113.952297800	708.9			
T	22.252978900	113.952293400	701.1			
T	22.252880700	113.952241500	697.1			
T	22.252687500	113.952204500	689.9			
T	22.252529600	113.952047300	680.9			
T	22.252418200	113.951199200	656.3			
T	22.252242200	113.950779800	643.6			
T	22.252179400	113.950719100	642.3			
T	22.252078900	113.950432200	633.1			
T	22.251962300	113.950264700	630.5			
T	22.251973000	113.950188800	626.0			
T	22.251903700	113.950015900	617.8			
T	22.251651700	113.949892400	612.8			
T	22.251514000	113.949707100	602.3			
T	22.251443200	113.949484300	597.8			
T	22.251407600	113.949270100	588.4			
T	22.251547000	113.948371400	552.9			
T	22.251449500	113.948145300	546.6			
T	22.251235200	113.948007300	539.5			
T	22.250646000	113.947316800	525.0			
T	22.250638600	113.947254000	524.4			
T	22.250648800	113.947183200	522.8			
T	22.250727700	113.947077500	519.3			
T	22.250744500	113.946868300	512.1			
T	22.250648700	113.946648800	506.4			
T	22.250669100	113.946436100	498.9			
T	22.250602100	113.946240200	493.6			
T	22.250582500	113.946075600	488.8			
T	22.250434200	113.945874500	478.5			
T	22.250361800	113.945828900	474.5			
T	22.250306800	113.945769000	469.9			
T	22.250161800	113.945729900	463.3			
T	22.250134600	113.945740300	462.8			
T	22.250082300	113.945578100	454.3			
T	22.249906300	113.945600100	450.5			
T	22.249838100	113.945521400	446.3			
T	22.249719600	113.945507600	443.2			
T	22.249534300	113.945338800	429.1			
T	22.249470800	113.945249800	423.3			
T	22.249383200	113.945159700	417.7			
T	22.249293900	113.945042700	413.0			
T	22.249211300	113.944841900	406.3			
T	22.249235900	113.944697000	402.5			
T	22.249188900	113.944584400	397.1			
T	22.249018900	113.944433100	383.9			
T	22.249016400	113.944294200	381.1			
T	22.248933700	113.944168300	375.6			
T	22.248834300	113.943915500	363.5			
T	22.248740500	113.943750900	354.6			
T	22.248734700	113.943512100	345.8			
T	22.248623600	113.943307400	338.6			
T	22.248561100	113.943319300	337.8			
T	22.248485200	113.943265600	335.7			
T	22.248468500	113.943253800	335.3			
T	22.248449000	113.943241100	334.9			
T	22.248383700	113.943198500	333.6			
T	22.248262100	113.943236000	332.5			
T	22.248208400	113.943256700	332.0			
T	22.248157200	113.943322100	331.5			
T	22.248127200	113.943303400	331.1	1		
T	22.248177300	113.943031000	331.8			
T	22.248216800	113.942982100	332.7			
T	22.248315800	113.942859200	334.8			
T	22.248384300	113.942721400	336.5			
T	22.248324300	113.942447500	345.0			
T	22.248244800	113.942087000	357.2			
T	22.248221000	113.941778000	365.7			
T	22.248324300	113.941400400	372.0			
T	22.248062100	113.940988400	376.0			
T	22.247982700	113.940602100	373.5			
T	22.248006500	113.940044200	400.4			
T	22.247863500	113.939512100	408.2			
T	22.247323300	113.938911300	432.8			
T	22.247386900	113.938396300	439.9			
T	22.247243900	113.938001500	438.9			
T	22.247181900	113.937853600	435.7			
T	22.247049100	113.937819300	440.6			
T	22.246757900	113.937664200	442.8			
T	22.246485800	113.937608200	441.4			
T	22.246354100	113.937383500	442.4			
T	22.245861600	113.936868500	458.1			
T	22.245702700	113.936611000	465.5			
T	22.245909600	113.936237800	478.3			
T	22.246226900	113.935767400	489.8			
