type	latitude	longitude	altitude (m)	eos	name	desc
T	22.396805900	114.370758300	6.0			
T	22.396879500	114.370841400	6.0			
T	22.396944600	114.370910200	6.0			
T	22.396988400	114.370937500	5.9			
T	22.397056100	114.370984500	5.8			
T	22.397099400	114.371019000	5.6			
T	22.397199200	114.371047200	5.3			
T	22.397344900	114.371018100	5.6			
T	22.397455300	114.370992300	6.1			
T	22.397562700	114.370989500	6.6			
T	22.397684300	114.371009200	7.0			
T	22.397769000	114.371012900	7.4			
T	22.397834800	114.370989400	7.6			
T	22.397947400	114.370896800	8.1			
T	22.398038000	114.370839100	8.1			
T	22.398045300	114.370758300	7.6			
T	22.398069600	114.370649300	6.3			
T	22.398102900	114.370566600	5.0			
T	22.398177900	114.370494100	3.9			
T	22.398262300	114.370421300	2.9			
T	22.398245400	114.370243100	4.5			
T	22.398288800	114.370147700	3.4			
T	22.398364300	114.370110800	2.3			
T	22.398477700	114.370055500	2.3			
T	22.398557600	114.369989100	2.8			
T	22.398677000	114.369921800	3.5			
T	22.398746300	114.369832000	4.1			
T	22.398792400	114.369823100	4.3			
T	22.398904800	114.369761900	4.7			
T	22.398982200	114.369710500	4.4			
T	22.399014300	114.369686100	4.2			
T	22.399048100	114.369660400	4.1			
T	22.399113400	114.369616600	3.8			
T	22.399203400	114.369575600	3.2			
T	22.399298400	114.369526600	2.6			
T	22.399378600	114.369462900	2.4			
T	22.399429000	114.369418700	2.4			
T	22.399499000	114.369357700	3.0			
T	22.399549600	114.369296400	3.6			
T	22.399589600	114.369220400	4.1			
T	22.399621700	114.369150400	4.4			
T	22.399660700	114.369062400	4.6			
T	22.399691700	114.368986400	4.8			
T	22.399730900	114.368911200	4.9			
T	22.399778000	114.368820000	5.0			
T	22.399814500	114.368767700	5.0			
T	22.399873300	114.368712500	4.7			
T	22.399921400	114.368682800	4.5			
T	22.399974000	114.368630300	4.2			
T	22.400027000	114.368581000	3.9			
T	22.400097000	114.368514000	3.8			
T	22.400176000	114.368465000	3.6			
T	22.400275000	114.368405000	3.5			
T	22.400399000	114.368312000	4.6			
T	22.400548000	114.368254000	5.6			
T	22.400631000	114.368157000	6.5			
